,anio,eleccion,partido,pais,puesto,votos,censo
259,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOINTEGRALPARALACOMUNIDADAF,VENEZUELA,CaracasConsulado,1,28288
260,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOYDEFENSADELOSDERECHOSDE,CANADA,MontrealConsulado,1,3397
261,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOYDEFENSADELOSDERECHOSDE,ECUADOR,QuitoConsulado,1,4302
262,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOYDEFENSADELOSDERECHOSDE,ELSALVADOR,SanSalvadorConsulado,8,351
263,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOYDEFENSADELOSDERECHOSDE,ESTADOSUNIDOS,WashingtonConsulado,10,4357
264,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOYDEFENSADELOSDERECHOSDE,INGLATERRA,LondresConsulado,1,7055
265,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOYDEFENSADELOSDERECHOSDE,PERU,LimaEmbajada,1,1120
266,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOYDEFENSADELOSDERECHOSDE,REPUBLICADOMINICANA,SantoDomingoEmbajada,1,1558
267,2010,CmaraNegritudes,FUNDACIONSEMILLASSINODIOCOLOMBIA,ECUADOR,EsmeraldasConsulado,1,690
268,2010,CmaraNegritudes,FUNDACIONSEMILLASSINODIOCOLOMBIA,ESTADOSUNIDOS,NuevaYorkElizabeth,2,5732
269,2010,CmaraNegritudes,FUNDACIONSEMILLASSINODIOCOLOMBIA,PAISESBAJANTILLASHOLANDESAS,WillemstadCurazao,1,1148
270,2010,CmaraNegritudes,FUNDACIONSEMILLASSINODIOCOLOMBIA,VENEZUELA,MaracaiboSanFrancisco,1,3186
271,2010,CmaraNegritudes,FUNDAPALAFROCEROBATALAFUNDACIONAFROCERRITEOOBATALA,ECUADOR,StoDomingoColoradosConsu,2,2785
272,2010,CmaraNegritudes,FUNDAPALAFROCEROBATALAFUNDACIONAFROCERRITEOOBATALA,ESPANA,MadridConsulado,1,11707
273,2010,CmaraNegritudes,FUNDAPALAFROCEROBATALAFUNDACIONAFROCERRITEOOBATALA,PANAMA,PanamaConsulado,1,6832
274,2010,CmaraNegritudes,FUNDAPALAFROCEROBATALAFUNDACIONAFROCERRITEOOBATALA,VENEZUELA,BarinasConsulado,17,4442
275,2010,CmaraNegritudes,MOVIMIENTOAFROAMBIENTALCOLOMBIANO,ECUADOR,QuitoConsulado,1,4302
276,2010,CmaraNegritudes,MOVIMIENTOAFROAMBIENTALCOLOMBIANO,ESTADOSUNIDOS,MiamiConsulado,2,24111
277,2010,CmaraNegritudes,MOVIMIENTOAFROAMBIENTALCOLOMBIANO,VENEZUELA,CaracasConsulado,6,28288
278,2010,CmaraNegritudes,MOVIMIENTONACIONALAFROCOLOMBIANOAFRO,ESPANA,BarcelonaConsulado,3,11766
279,2010,CmaraNegritudes,MOVIMIENTONACIONALAFROCOLOMBIANOAFRO,ESTADOSUNIDOS,MiamiConsulado,2,24111
280,2010,CmaraNegritudes,MOVIMIENTONACIONALAFROCOLOMBIANOAFRO,VENEZUELA,CaracasConsulado,3,28288
281,2010,CmaraNegritudes,MOVIMIENTONACIONALCIMARRON,ARGENTINA,BuenosAiresConsulado,1,2859
282,2010,CmaraNegritudes,MOVIMIENTONACIONALCIMARRON,BELGICA,BruselasConsulado,1,1004
283,2010,CmaraNegritudes,MOVIMIENTONACIONALCIMARRON,BRASIL,SaoPauloConsulado,1,538
284,2010,CmaraNegritudes,MOVIMIENTONACIONALCIMARRON,ECUADOR,GuayaquilConsulado,2,3144
285,2010,CmaraNegritudes,MOVIMIENTONACIONALCIMARRON,ESPANA,MadridEmbajada,1,13237
286,2010,CmaraNegritudes,MOVIMIENTONACIONALCIMARRON,ESTADOSUNIDOS,MiamiConsulado,1,24111
287,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,ALEMANIA,BerlinEmbajada,1,608
288,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,ARGENTINA,BuenosAiresConsulado,2,2859
289,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,BELGICA,BruselasConsulado,1,1004
290,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,BRASIL,RiodeJaneiroConsulado,1,209
