anio,elec,partido,nomcandi,nomdepto,votos,censo
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,TOLIMA,879,306980
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,VALLEDELCAUCA,2633,295870
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,VAUPES,9,10200
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,VICHADA,14,23290
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,AMAZONAS,48,12046
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,ANTIOQUIA,4998,981626
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,ARAUCA,78,48663
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,ARCHIPIELAGODESANANDRES,13,19695
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,ATLANTICO,1125,230906
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,BOGOTA,3379,35871
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,BOLIVAR,694,270996
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,BOYACA,728,474104
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,CALDAS,1838,221426
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,CAQUETA,199,116744
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,CASANARE,115,110127
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,CAUCA,1334,255938
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,CESAR,308,234461
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,CHOCO,247,95254
